date,year,month_num,t,rate_close,log_rate,rate_lag1,rate_lag3,rate_lag6,rate_lag12,mom_lag1,mom_change_pct,yoy_change_pct,roll3m,roll6m,roll12m,vol12m,split
2024-04-01,2024,4,135,22.72,3.1232455938529506,22.69,22.61,22.67,22.25,0.55,0.11,2.112359550561793,22.659999999999997,22.655,22.580000000000002,0.11946852000728476,test
2024-05-01,2024,5,136,22.71,3.122805356117467,22.72,22.57,22.69,22.51,0.11,0.0,0.8884940026654853,22.706666666666667,22.65833333333333,22.596666666666668,0.12272166092670869,test
2024-06-01,2024,6,137,22.69,3.1219242987917504,22.71,22.69,22.65,22.35,0.0,-0.08,1.5212527964205913,22.706666666666667,22.665000000000003,22.625,0.09718772836865233,test
2024-07-01,2024,7,138,22.79,3.126321843257593,22.69,22.72,22.61,22.39,-0.08,0.41,1.7865118356409138,22.73,22.695000000000004,22.658333333333335,0.07541802694239305,test
2024-08-01,2024,8,139,22.83,3.1280754605417043,22.79,22.71,22.57,22.51,0.41,0.21,1.4215904042647498,22.77,22.738333333333333,22.685,0.07477238187268186,test
2024-09-01,2024,9,140,22.8,3.126760535960395,22.83,22.69,22.69,22.6,0.21,-0.14,0.8849557522123908,22.80666666666667,22.756666666666664,22.701666666666668,0.07637626158263193,test
2024-10-01,2024,10,141,22.88,3.130263166511597,22.8,22.79,22.72,22.67,-0.14,0.36,0.926334362593728,22.836666666666662,22.78333333333333,22.719166666666666,0.09110017795947413,test
2024-11-01,2024,11,142,23.02,3.1363634032937364,22.88,22.83,22.71,22.69,0.36,0.6,1.4543851917144135,22.899999999999995,22.834999999999997,22.74666666666667,0.12499696966026032,test
2024-12-01,2024,12,143,23.29,3.1480240838962494,23.02,22.8,22.69,22.65,0.6,1.16,2.8256070640176656,23.063333333333333,22.935,22.8,0.19623733311757183,test
2025-01-01,2025,1,144,23.57,3.1599747169480397,23.29,22.88,22.79,22.61,1.16,1.21,4.245908889871752,23.293333333333333,23.065,22.88,0.2866102833909859,test
2025-02-01,2025,2,145,23.82,3.170525563927154,23.57,23.02,22.83,22.57,1.21,1.06,5.538325210456363,23.560000000000002,23.23,22.984166666666667,0.3766951584826252,test
2025-03-01,2025,3,146,23.27,3.1471649773142003,23.82,23.29,22.8,22.69,1.06,-2.31,2.556192155134407,23.55333333333333,23.308333333333334,23.0325,0.37270814806812536,test
2025-04-01,2025,4,147,23.03,3.136797713832594,23.27,23.57,22.88,22.72,-2.31,-1.03,1.3644366197183233,23.373333333333335,23.333333333333332,23.058333333333334,0.35959151909641673,test
2025-05-01,2025,5,148,23.28,3.147594622863237,23.03,23.82,23.02,22.71,-1.03,1.09,2.5099075297225992,23.19333333333333,23.376666666666665,23.105833333333333,0.34681560029224334,test
2025-06-01,2025,6,149,23.34,3.15016862685841,23.28,23.27,23.29,22.69,1.09,0.26,2.8646981048920277,23.21666666666667,23.385,23.16,0.32610650797778246,test
